Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,extracted_at
2022-01-03 00:00:00-05:00,324.4789626840154,327.04305171040653,319.0895183249568,323.8984069824219,28865100,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-04 00:00:00-05:00,323.9757928660076,324.333823368685,315.54815346488107,318.344482421875,32674300,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-05 00:00:00-05:00,315.2965689226274,315.4997826044344,305.73687408915134,306.1239013671875,40054300,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-06 00:00:00-05:00,302.9986098361541,308.3687131905766,301.39241851651343,303.7049560546875,39646100,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-07 00:00:00-05:00,303.96622221255154,306.2400483826627,300.0378372243138,303.85980224609375,32720000,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-10 00:00:00-05:00,299.4572301875026,304.51769951844926,294.81284395605223,304.082275390625,44289500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-11 00:00:00-05:00,303.2211788519228,306.34645318386146,299.84432347965804,304.7693176269531,29386800,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-12 00:00:00-05:00,309.30721526386515,312.92596558737677,306.80114975733375,307.95257568359375,34372200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-13 00:00:00-05:00,310.0812872347779,310.477999759612,294.14519599434743,294.91925048828125,45366000,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-14 00:00:00-05:00,294.38718582980954,300.7442144807807,293.903394234362,300.1443176269531,39846400,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-18 00:00:00-05:00,294.21293945049706,299.7571705686531,291.95845475795755,292.8389587402344,42333200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-19 00:00:00-05:00,296.36098446324274,303.73396167938847,292.8873652813076,293.4969177246094,45933900,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-20 00:00:00-05:00,299.0508745044083,301.54722556520954,291.37794866784134,291.8230285644531,35380700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-21 00:00:00-05:00,292.8777000608215,294.25165138229846,286.0271958983454,286.43359375,57984400,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-24 00:00:00-05:00,282.727768608137,287.47857522376313,267.101279303545,286.7625732421875,85731500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-25 00:00:00-05:00,282.06977569492784,285.4272897689935,275.92564748178614,279.13800048828125,72848600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-26 00:00:00-05:00,298.00588813814414,298.4993649327911,283.53085426864396,287.091552734375,90428900,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-27 00:00:00-05:00,292.84867784956623,297.33824766891416,288.27199957427445,290.1200866699219,53481300,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-28 00:00:00-05:00,290.49743069503995,298.4799897848547,284.9048025987013,298.2671203613281,49743700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-01-31 00:00:00-05:00,298.93479441062544,302.25359717758414,296.4384136116129,300.89898681640625,46444500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-01 00:00:00-05:00,300.34739077879186,300.5602601832143,295.23855460093705,298.7508850097656,40950400,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-02 00:00:00-05:00,299.59275378047863,304.90477544054625,298.86706647048936,303.298583984375,36636000,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-03 00:00:00-05:00,299.4573120730052,301.14092690312145,290.2362454519294,291.48443603515625,43730000,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-04 00:00:00-05:00,290.478047823017,298.78958120984197,290.24583738111943,296.0223083496094,35096500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-07 00:00:00-05:00,296.24484477716817,297.860691549558,290.17808160206255,291.1940612792969,28533300,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-08 00:00:00-05:00,291.48434523681885,295.65462512508105,290.2264992927546,294.6870422363281,32421200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-09 00:00:00-05:00,299.8249328306882,301.81815140418445,297.4253459420539,301.1214904785156,31284700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-10 00:00:00-05:00,294.18391946316234,299.0992277076315,290.95219605157683,292.5777282714844,45386200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-11 00:00:00-05:00,293.3615038676102,294.4258511158453,284.68228282928357,285.4757080078125,39175600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-14 00:00:00-05:00,284.24681310649265,287.13990600791016,281.9052790638438,285.43695068359375,36359500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-15 00:00:00-05:00,290.2845344237078,291.04890359942823,287.3914416813156,290.7296142578125,27058300,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-16 00:00:00-05:00,289.29465510017036,291.7186141094078,284.74730563169356,290.3902893066406,29982100,0.62,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-17 00:00:00-05:00,287.34578532918516,287.772404486028,281.17924775374655,281.8870544433594,32461600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-18 00:00:00-05:00,284.13644314148104,284.9218034378094,277.6014595831245,279.17218017578125,34264000,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-22 00:00:00-05:00,276.331359038796,282.6724448259665,275.8465671808332,278.9686279296875,41736100,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-23 00:00:00-05:00,281.35375501257334,282.8275409854315,271.5803655847503,271.74517822265625,37811200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-24 00:00:00-05:00,264.2212450912512,286.1823084436964,263.2613371745761,285.629638671875,56989700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-25 00:00:00-05:00,286.16295712554097,288.5772111518248,282.7790897770282,288.2669372558594,32546700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-02-28 00:00:00-05:00,285.3580988142638,290.04120338234367,284.08794687966224,289.70184326171875,34627500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-01 00:00:00-05:00,287.3846692197042,290.8460909305995,283.2639375417869,285.9787902832031,31217800,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-02 00:00:00-05:00,286.3762504716057,292.3004227417383,284.76676743872775,291.0593566894531,31873000,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-03 00:00:00-05:00,293.67715703394936,293.90984760260005,285.1060129570107,286.9191589355469,27314500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-04 00:00:00-05:00,285.33879636039853,286.6671212997695,278.43536512644255,281.04351806640625,32356500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-07 00:00:00-05:00,279.75396452482715,280.8786850901457,270.0581281920922,270.42657470703125,43157200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-08 00:00:00-05:00,269.35029539224405,275.3229335452845,261.7875556211475,267.4596252441406,48159500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-09 00:00:00-05:00,274.8187931136679,280.79143196991623,272.2396970446507,279.7248840332031,35204500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-10 00:00:00-05:00,274.4115141100971,277.8826396429179,272.04572798060116,276.9033508300781,30628000,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-11 00:00:00-05:00,279.2012682861542,280.70414052887327,270.9307218618932,271.55126953125,27209300,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-14 00:00:00-04:00,271.81307809759875,276.7191690212427,267.43057063229696,268.0317077636719,30660700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-15 00:00:00-04:00,271.822797240653,279.06558869061246,270.2520763750094,278.41595458984375,34245100,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-16 00:00:00-04:00,280.3162702005297,285.6102173906511,274.58605778034723,285.4356994628906,37826300,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-17 00:00:00-04:00,284.3691285875564,286.6185396265509,280.5683485745352,286.24041748046875,30816600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-18 00:00:00-04:00,286.3859015665902,291.8446619377946,283.8262162636274,291.2919921875,43390600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-21 00:00:00-04:00,289.79889199333064,291.0108716421582,285.9302328335173,290.0606689453125,28351200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-22 00:00:00-04:00,290.68114890416,295.7229954158394,289.68247898846056,294.81158447265625,27599700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-23 00:00:00-04:00,291.3695483106634,294.0068166256151,288.66440204897714,290.38055419921875,25715400,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-24 00:00:00-04:00,290.04124604725905,294.9473365902291,289.2461804109756,294.8503723144531,24484500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-25 00:00:00-04:00,295.9460794588149,296.20785643754294,290.1867492119975,294.4432067871094,22566500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-28 00:00:00-04:00,295.0733614546366,301.346568476762,295.0733614546366,301.2496337890625,29578200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-29 00:00:00-04:00,304.36203066251414,306.21393912796776,299.64983837259945,305.81640625,30393400,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-30 00:00:00-04:00,304.21660289540057,306.339993647316,302.10288786010216,304.31353759765625,28163600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-03-31 00:00:00-04:00,304.35224961733445,305.55455325788046,298.5250730010145,298.9322814941406,33422100,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-01 00:00:00-04:00,299.96007850505373,300.69697152169914,296.246586275612,300.0085754394531,27110500,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-04 00:00:00-04:00,300.6581674070127,305.52546630436024,300.28972091399,305.3897399902344,24289600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-05 00:00:00-04:00,303.7414225568673,305.29276212664746,300.44484446442266,301.42413330078125,23156700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-06 00:00:00-04:00,295.90722237881243,297.66216633435283,287.68514276731554,290.3902893066406,40110400,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-07 00:00:00-04:00,287.63663922691137,294.4140182952895,287.3360707147367,292.203369140625,31411200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-08 00:00:00-04:00,291.3017431608268,291.96105300699253,287.2682712247313,287.9372863769531,24361900,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-11 00:00:00-04:00,282.9148149628091,283.7098510494845,276.3313338468451,276.58343505859375,34569300,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-12 00:00:00-04:00,280.44231514730166,281.8966903613932,271.95845973176773,273.480712890625,30966700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-13 00:00:00-04:00,274.130364433045,279.80240446057144,272.74383748539003,278.8716125488281,21907200,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-14 00:00:00-04:00,279.3273432160326,279.54065279729,270.82410546962507,271.3185729980469,28221600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-18 00:00:00-04:00,270.42653361861943,273.8685431580262,269.8738639301832,271.987548828125,20778000,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-19 00:00:00-04:00,270.88224409138223,277.46572436879006,269.94174690889537,276.6221618652344,22297700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-20 00:00:00-04:00,280.59747515624474,280.8883679766164,276.690054609588,277.6499328613281,22906700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-21 00:00:00-04:00,279.8024222293234,284.37885800425323,271.5415806106492,272.2687683105469,29454600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-22 00:00:00-04:00,273.112284984401,274.5860709052862,265.06475342226594,265.6949768066406,29405800,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-25 00:00:00-04:00,264.97754897503074,272.5596713449549,262.5341790094944,272.1815490722656,35678900,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-26 00:00:00-04:00,269.0594525267125,269.89328023075717,261.7875754313959,262.0008850097656,46518400,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-27 00:00:00-04:00,273.5195094539181,282.1197103075881,270.66893161567555,274.6054382324219,63477700,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
2022-04-28 00:00:00-04:00,276.51557221439435,282.1294700096168,272.89901443389357,280.8205261230469,33646600,0.0,0.0,MSFT,2026-01-27 14:01:10.751124+00:00
