Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,extracted_at
2022-01-03 00:00:00-05:00,324.47890153945974,327.04299008267594,319.0894581959837,323.8983459472656,28865100,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-04 00:00:00-05:00,323.975761808593,324.33379227694843,315.5481232153685,318.3444519042969,32674300,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-05 00:00:00-05:00,315.2965689226274,315.4997826044344,305.73687408915134,306.1239013671875,40054300,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-06 00:00:00-05:00,302.99854894295123,308.3686512181517,301.39235794610454,303.70489501953125,39646100,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-07 00:00:00-05:00,303.96622221255154,306.2400483826627,300.0378372243138,303.85980224609375,32720000,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-10 00:00:00-05:00,299.45726024091306,304.5177300797264,294.8128735433539,304.0823059082031,44289500,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-11 00:00:00-05:00,303.2211788519228,306.34645318386146,299.84432347965804,304.7693176269531,29386800,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-12 00:00:00-05:00,309.3071846120445,312.92593457694414,306.80111935386,307.9525451660156,34372200,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-13 00:00:00-05:00,310.0812872347779,310.477999759612,294.14519599434743,294.91925048828125,45366000,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-14 00:00:00-05:00,294.38709603316755,300.7441227450604,293.9033045852905,300.14422607421875,39846400,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-18 00:00:00-05:00,294.21287812896793,299.7571080915639,291.95839390632096,292.8388977050781,42333200,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-19 00:00:00-05:00,296.3610152786243,303.73399326140634,292.887395735505,293.4969482421875,45933900,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-20 00:00:00-05:00,299.050905777843,301.54725709970177,291.37797913887493,291.82305908203125,35380700,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-21 00:00:00-05:00,292.87766885666707,294.25162003175876,286.02716542406625,286.4335632324219,57984400,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-24 00:00:00-05:00,282.7276783435672,287.4784834424357,267.1011940279381,286.7624816894531,85731500,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-25 00:00:00-05:00,282.0698682092369,285.42738338451267,275.92573798092087,279.1380920410156,72848600,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-26 00:00:00-05:00,298.00588813814414,298.4993649327911,283.53085426864396,287.091552734375,90428900,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-27 00:00:00-05:00,292.8487086541634,297.3382789457668,288.2720298974532,290.1201171875,53481300,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-28 00:00:00-05:00,290.49743069503995,298.4799897848547,284.9048025987013,298.2671203613281,49743700,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
2022-01-31 00:00:00-05:00,298.93479441062544,302.25359717758414,296.4384136116129,300.89898681640625,46444500,0.0,0.0,MSFT,2026-01-08 10:04:44.635383+00:00
