symbol,date,open,high,low,close,volume,dividends,stock_splits,extracted_at
AAPL,2022-01-03 05:00:00,174.17621628400974,179.12245940789794,174.05868664745196,178.27032470703125,104487900,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-04 05:00:00,178.87758836256972,179.18121654083714,175.43969718796814,176.00778198242188,99310400,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-05 05:00:00,175.9196433238863,176.46813489136744,171.05175824457976,171.3260040283203,94537600,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-06 05:00:00,169.15157192201912,171.69815632959336,168.1133538766339,168.46595764160156,96904000,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-07 05:00:00,169.33768439473522,170.56200104833394,167.51590061636946,168.63247680664062,86709100,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-10 05:00:00,165.6059836604726,168.95571251516662,164.71467747425172,168.65208435058594,106765600,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-11 05:00:00,168.77945568721643,171.58067870481955,167.31027525099185,171.4827423095703,76138300,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-12 05:00:00,172.5013664795951,173.53958492379155,171.2280887319737,171.92349243164062,74805200,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-13 05:00:00,172.16831849084767,172.9910557649256,168.26029402106818,168.65208435058594,84505800,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-14 05:00:00,167.81954242119846,170.20941111487983,167.57467907053888,169.51400756835938,80440800,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-18 05:00:00,167.98607548786666,168.99491146380436,165.92923196932753,166.31121826171875,90956700,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-19 05:00:00,166.50708841129685,167.56489994287205,162.53050974989438,162.81454467773438,94815000,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-20 05:00:00,163.54914953452655,166.19367112950465,160.8066766064742,161.12989807128906,91420500,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-21 05:00:00,161.0417244969125,162.9124840575923,158.96528809380473,159.07302856445312,122848900,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-24 05:00:00,156.73215398969816,158.96530678454897,151.52145417153005,158.2992706298828,162294600,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-25 05:00:00,155.71348938472497,159.41582185177984,153.79376918824497,156.49705505371094,115798400,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-26 05:00:00,160.14063545703362,161.01234841002858,154.57734716045317,156.40892028808594,108275300,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-27 05:00:00,159.11219273840803,160.47363228871149,155.02787408749768,155.9485626220703,121954600,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-28 05:00:00,162.30523687541563,166.8499002604039,159.4550237648548,166.83030700683594,179935700,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-01-31 05:00:00,166.66381797685227,171.40436952425716,166.0271642085972,171.1888885498047,115541600,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-01 05:00:00,170.43469133018758,171.2476394960686,168.76962343591478,171.02236938476562,86213900,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-02 05:00:00,171.15946552150538,172.26625254169926,169.7686436179964,172.22706604003906,84914300,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-03 05:00:00,170.8950419808838,172.61888970067017,168.5835311300311,169.34750366210938,89418100,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-04 05:00:00,168.3667905913057,170.74010088602927,167.3860892995176,169.06309509277344,82465400,0.22,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-07 05:00:00,169.52400639061884,170.59296708423147,167.65086354740316,168.34716796875,77251200,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-08 05:00:00,168.4158139278121,171.965962469506,168.12160057312957,171.45599365234375,74829200,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-09 05:00:00,172.65247937368048,173.2408912177467,171.524663818335,172.87803649902344,71285000,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-10 05:00:00,170.77931477893978,172.09345086021537,168.23930213729955,168.7982940673828,90865900,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-11 05:00:00,169.00425774018962,169.73978371917386,164.79704076038374,165.38546752929688,98670700,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-14 05:00:00,164.13999610862248,166.30735288699964,163.345630332233,165.62086486816406,86185500,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-15 05:00:00,167.670499489042,169.61228383864895,166.96439336840055,169.4553680419922,62527400,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-16 05:00:00,168.53355893920678,169.99479459859117,166.76829324447385,169.2200469970703,61177400,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-17 05:00:00,167.72936698979834,168.59238905022963,165.21877368416162,165.62086486816406,69589300,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-18 05:00:00,166.5426908818598,167.24878200376986,162.98274061084325,164.07131958007812,82772700,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-22 05:00:00,161.79611631133258,163.47312232621292,159.02072949307376,161.14886474609375,91162800,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-23 05:00:00,162.34527208329274,162.94350042130728,156.66701864895236,156.98085021972656,90009200,0.0,0.0,2026-01-27 14:01:10.178449+00:00
AAPL,2022-02-24 05:00:00,149.63540593186767,159.70721245821238,149.06659738297807,159.59933471679688,141147500,0.0,0.0,2026-01-27 14:01:10.178449+00:00
